takenAt,watermark,battery,temperature,humidity
2021-06-19 00:40:47.807015,10,13.24355,23.1,52.3
2021-06-19 00:41:41.534232,8,13.24355,23.1,52.3
2021-06-19 00:55:51.655117,1,13.2621,23.9,43.2
2021-06-19 00:56:52.374612,0,13.2621,23.9,44.3
2021-06-19 00:57:52.982182,0,13.24355,24,44
2021-06-19 00:58:53.688748,1,13.24355,24.1,42.7
2021-06-19 00:59:54.429895,1,13.24355,24.1,42.4
2021-06-19 01:00:55.153277,1,13.24355,24.2,43.5
2021-06-19 01:01:55.876565,0,13.225,24.2,44.3
2021-06-19 01:02:56.650205,0,13.24355,24.3,44.9
2021-06-19 01:03:57.276745,1,13.24355,24.3,45.4
2021-06-19 01:04:58.061033,0,13.24355,24.3,45.8
2021-06-19 01:05:58.785883,1,13.24355,24.4,46.2
2021-06-19 01:06:59.512298,0,13.225,24.4,46.6
2021-06-19 01:08:00.235269,2,13.24355,24.4,46.9
2021-06-19 01:09:00.960208,1,13.225,24.4,47.1
2021-06-19 01:10:01.685346,1,13.225,24.4,47.4
2021-06-19 01:11:02.409729,0,13.225,24.4,47.6
2021-06-19 01:12:03.023729,1,13.225,24.4,47.8
2021-06-19 01:13:03.983494,0,13.225,24.4,48
2021-06-19 01:14:04.510232,1,13.225,24.4,48.2
2021-06-19 01:15:05.192434,1,13.225,24.4,48.3
2021-06-19 01:16:06.182585,0,13.20645,24.4,48.5
2021-06-19 01:17:06.616214,0,13.225,24.4,48.7
2021-06-19 01:18:07.334666,1,13.24355,24.3,48.7
2021-06-19 01:19:08.052279,2,13.20645,24.3,48.9
2021-06-19 01:20:08.816369,0,13.20645,24.3,49
2021-06-19 01:21:09.488181,1,13.225,24.3,49.1
2021-06-19 01:22:10.377540,0,13.225,24.3,49.2
2021-06-19 01:23:11.099909,0,13.225,24.2,49.3
2021-06-19 01:24:11.825212,1,13.24355,24.2,49.4
2021-06-19 01:25:12.550467,1,13.225,24.2,49.5
2021-06-19 01:26:13.274017,1,13.225,24.2,49.6
2021-06-19 01:27:13.998351,2,13.24355,24.1,49.7
2021-06-19 01:28:14.721679,1,13.2621,24.1,49.7
2021-06-19 01:29:15.446100,1,13.24355,24.1,49.8
2021-06-19 01:30:15.956411,0,13.2621,24.1,49.9
2021-06-19 01:31:16.682138,0,13.2621,24.1,50
2021-06-19 01:32:17.406720,0,13.2621,24.1,50.2
2021-06-19 01:33:18.127829,0,13.28064,24.1,50.2
2021-06-19 01:34:18.855061,0,13.28064,24.1,50.3
2021-06-19 01:35:19.582752,0,13.28064,24.2,50.4
2021-06-19 01:36:20.303464,1,13.28064,24.2,50.5
2021-06-19 01:37:21.134949,2,13.28064,24.2,50.5
2021-06-19 01:38:21.860371,0,13.2621,24.2,50.5
2021-06-19 01:39:22.582543,0,13.24355,24.3,50.6
2021-06-19 01:40:23.304870,2,13.225,24.3,50.7
2021-06-19 01:41:24.025871,2,13.24355,24.3,50.7
2021-06-19 01:42:24.746946,1,13.225,24.3,50.7
2021-06-19 01:43:25.468879,1,13.24355,24.3,50.7
2021-06-19 01:44:26.189963,1,13.225,24.3,50.8
2021-06-19 01:45:26.914671,0,13.20645,24.3,50.8
2021-06-19 01:46:27.424597,0,13.20645,24.3,50.8
2021-06-19 01:47:28.152828,1,13.225,24.2,50.8
2021-06-19 01:48:28.867357,0,13.225,24.2,50.8
2021-06-19 01:49:29.594316,1,13.20645,24.2,50.9
2021-06-19 01:50:30.314908,0,13.20645,24.2,50.9
2021-06-19 01:51:31.044770,0,13.20645,24.1,50.9
2021-06-19 01:52:31.761144,1,13.20645,24.1,51
2021-06-19 01:53:32.591473,0,13.20645,24.1,51
2021-06-19 01:54:33.315945,1,13.20645,24,51
2021-06-19 01:55:34.038428,0,13.20645,24,51
2021-06-19 01:56:34.761850,0,13.1879,24,51
2021-06-19 01:57:35.484854,1,13.20645,23.9,51
2021-06-19 01:58:36.211996,1,13.20645,23.9,51.1
2021-06-19 01:59:36.932565,0,13.1879,23.9,51.1
2021-06-19 02:00:37.654982,1,13.20645,23.8,51.1
2021-06-19 02:01:38.171639,0,13.20645,23.8,51.1
2021-06-19 02:02:38.908449,1,13.20645,23.7,51.1
2021-06-19 02:03:39.603349,1,13.20645,23.7,51.2
2021-06-19 02:04:40.341486,0,13.225,23.7,51.3
2021-06-19 02:05:41.067261,0,13.225,23.6,51.3
2021-06-19 02:06:41.788848,0,13.225,23.6,51.3
2021-06-19 02:07:42.512051,0,13.24355,23.5,51.3
2021-06-19 02:08:43.189353,1,13.2621,23.5,51.4
2021-06-19 02:09:43.906021,1,13.28064,23.5,51.4
2021-06-19 02:10:44.625317,1,13.28064,23.5,51.5
2021-06-19 02:11:45.509100,1,13.28064,23.5,51.5
2021-06-19 02:12:46.233995,0,13.2621,23.5,51.5
2021-06-19 02:13:46.957200,0,13.24355,23.5,51.4
2021-06-19 02:14:47.680679,0,13.24355,23.6,51.5
2021-06-19 02:15:48.405892,0,13.24355,23.6,51.4
2021-06-19 02:16:49.128834,0,13.225,23.6,51.4
2021-06-19 02:17:49.856227,0,13.24355,23.6,51.4
2021-06-19 02:18:50.578607,1,13.225,23.6,51.4
2021-06-19 02:19:51.096142,1,13.24355,23.6,51.4
2021-06-19 02:20:51.820573,0,13.225,23.6,51.4
2021-06-19 02:21:52.543954,1,13.225,23.6,51.4
2021-06-19 02:22:53.266602,2,13.20645,23.6,51.4
2021-06-19 02:23:53.991993,0,13.225,23.6,51.4
2021-06-19 02:24:54.715263,0,13.225,23.6,51.4
2021-06-19 02:25:55.438826,0,13.225,23.6,51.4
2021-06-19 02:26:56.162367,0,13.225,23.6,51.3
2021-06-19 02:27:56.989850,0,13.20645,23.6,51.3
2021-06-19 02:28:57.713453,0,13.225,23.6,51.3
2021-06-19 02:29:58.437975,0,13.20645,23.6,51.3
2021-06-19 02:30:59.117490,1,13.20645,23.6,51.3
2021-06-19 02:31:59.886417,0,13.20645,23.6,51.3
2021-06-19 02:33:00.611422,1,13.20645,23.6,51.2
2021-06-19 02:34:01.333038,0,13.20645,23.5,51.2
2021-06-19 02:35:02.056256,1,13.225,23.5,51.2
2021-06-19 02:36:02.676821,2,13.20645,23.5,51.2
2021-06-19 02:37:03.460843,0,13.20645,23.5,51.2
2021-06-19 02:38:04.229607,0,13.1879,23.4,51.2
2021-06-19 02:39:04.758386,1,13.20645,23.4,51.2
